วันที่,ประเภท,ตึก,ห้อง,ลูกค้า,เบอร์,หมายเหตุ,สถานะ
27/04/2026,ทำสะอาด,G48,201,,,ย้ายออกแล้ว,เสร็จ
27/04/2026,ทำสะอาด,G48,305,,,,เสร็จ
27/04/2026,ย้ายออก,Kl,102,คุณมานี,081-234-5678,,เสร็จ
28/04/2026,ทำสะอาด,Kl,102,,,,เสร็จ
28/04/2026,ชมห้อง,มายทรี48,204,คุณพิมพ์,090-111-2222,นัด 10 โมง,เสร็จ
28/04/2026,ทำสะอาด,มั่งมี,301,,,,เสร็จ
29/04/2026,ทำสะอาด,G48,104,,,เช็คแอร์,ว่าง
29/04/2026,ย้ายเข้า,G48,201,คุณสมหญิง,085-999-0001,เช็คตู้เย็นด้วย,ว่าง
29/04/2026,ชมห้อง,มีทรัพย์,405,คุณธนา,092-333-4444,,ว่าง
29/04/2026,ทำสะอาด,Kl,205,,,,ว่าง
30/04/2026,ทำสะอาด,มายทรี48,101,,,,ว่าง
30/04/2026,ทำสะอาด,มายทรี48,102,,,,ว่าง
30/04/2026,ทำสะอาด,มายทรี48,103,,,ตรวจท่อน้ำ,ว่าง
30/04/2026,ย้ายเข้า,Kl,205,คุณอรทัย,088-555-6677,,ว่าง
30/04/2026,ย้ายออก,มั่งมี,301,คุณวิชัย,081-777-8899,,ว่าง
01/05/2026,ทำสะอาด,G48,302,,,,ว่าง
01/05/2026,ย้ายเข้า,G48,104,คุณศศิพิม,098-748-8334,เช็คแอร์,ว่าง
01/05/2026,ทำสะอาด,มีทรัพย์,201,,,,ว่าง
02/05/2026,ย้ายเข้า,มายทรี48,103,คุณปัทมา,086-123-4567,,ว่าง
02/05/2026,ชมห้อง,G48,302,คุณนิรันดร์,091-888-0000,นัดบ่าย 2,ว่าง
02/05/2026,ทำสะอาด,มั่งมี,205,,,,ว่าง
03/05/2026,ทำสะอาด,Kl,108,,,,ว่าง
03/05/2026,ย้ายออก,G48,305,คุณประพันธ์,083-444-5555,,ว่าง
05/05/2026,ทำสะอาด,G48,305,,,,ว่าง
05/05/2026,ย้ายเข้า,มีทรัพย์,201,คุณรัตนา,087-222-3333,,ว่าง
06/05/2026,ชมห้อง,มั่งมี,401,คุณเกียรติ,089-666-7777,,ว่าง
07/05/2026,ทำสะอาด,Kl,301,,,,ว่าง
07/05/2026,ย้ายเข้า,Kl,108,คุณสุภาพ,084-000-1111,,ว่าง
