ตึก,ห้อง,ชั้น,ราคา/เดือน,สถานะ,ผู้เช่าปัจจุบัน,เบอร์,วันสัญญาหมด
Kl,101,1,3500,มีคนอยู่,คุณสมชาย,081-111-0001,30/06/2026
Kl,102,1,3500,ว่าง,,,
Kl,103,1,3500,มีคนอยู่,คุณวาสนา,082-111-0002,31/08/2026
Kl,104,1,3500,มีคนอยู่,คุณประเสริฐ,083-111-0003,31/05/2026
Kl,105,1,3500,ปรับปรุง,,,
Kl,201,2,3800,มีคนอยู่,คุณนภา,084-111-0004,30/09/2026
Kl,202,2,3800,มีคนอยู่,คุณธีรพล,085-111-0005,31/07/2026
Kl,203,2,3800,ว่าง,,,
Kl,204,2,3800,มีคนอยู่,คุณจิรา,086-111-0006,28/02/2027
Kl,205,2,3800,ว่าง,,,
Kl,301,3,4000,ว่าง,,,
Kl,302,3,4000,มีคนอยู่,คุณพิทักษ์,087-111-0007,30/11/2026
มายทรี48,101,1,4000,ว่าง,,,
มายทรี48,102,1,4000,มีคนอยู่,คุณศิริ,088-222-0001,31/10/2026
มายทรี48,103,1,4000,ว่าง,,,
มายทรี48,104,1,4000,มีคนอยู่,คุณอำนาจ,089-222-0002,31/05/2026
มายทรี48,201,2,4500,มีคนอยู่,คุณกมล,081-222-0003,30/06/2026
มายทรี48,202,2,4500,มีคนอยู่,คุณเพ็ญ,082-222-0004,31/12/2026
มายทรี48,203,2,4500,ว่าง,,,
มายทรี48,204,2,4500,มีคนอยู่,คุณชาญ,083-222-0005,30/09/2026
G48,101,1,4200,มีคนอยู่,คุณบุญมา,084-333-0001,30/06/2026
G48,102,1,4200,มีคนอยู่,คุณสายฝน,085-333-0002,31/08/2026
G48,103,1,4200,ว่าง,,,
G48,104,1,4200,ว่าง,,,
G48,201,2,4500,ว่าง,,,
G48,202,2,4500,มีคนอยู่,คุณวันดี,086-333-0003,31/07/2026
G48,203,2,4500,มีคนอยู่,คุณอนุชา,087-333-0004,31/05/2026
G48,204,2,4500,มีคนอยู่,คุณลลิตา,088-333-0005,30/11/2026
G48,205,2,4500,ว่าง,,,
G48,301,3,4800,มีคนอยู่,คุณเจษฎา,089-333-0006,28/02/2027
G48,302,3,4800,ว่าง,,,
G48,303,3,4800,มีคนอยู่,คุณนิตยา,081-333-0007,30/06/2026
G48,304,3,4800,ปรับปรุง,,,
G48,305,3,4800,ว่าง,,,
มั่งมี,101,1,3800,มีคนอยู่,คุณสุวรรณ,082-444-0001,31/08/2026
มั่งมี,102,1,3800,มีคนอยู่,คุณอาภา,083-444-0002,30/06/2026
มั่งมี,201,2,4200,ว่าง,,,
มั่งมี,202,2,4200,มีคนอยู่,คุณเรวัต,084-444-0003,31/07/2026
มั่งมี,203,2,4200,มีคนอยู่,คุณจันทร์,085-444-0004,30/09/2026
มั่งมี,204,2,4200,ว่าง,,,
มั่งมี,205,2,4200,ว่าง,,,
มั่งมี,301,3,4500,ว่าง,,,
มั่งมี,401,4,4800,ว่าง,,,
มีทรัพย์,101,1,3800,มีคนอยู่,คุณประภา,086-555-0001,31/05/2026
มีทรัพย์,102,1,3800,มีคนอยู่,คุณกิตติ,087-555-0002,30/06/2026
มีทรัพย์,201,2,4200,ว่าง,,,
มีทรัพย์,202,2,4200,มีคนอยู่,คุณมาลี,088-555-0003,31/10/2026
มีทรัพย์,301,3,4500,มีคนอยู่,คุณวิโรจน์,089-555-0004,28/02/2027
มีทรัพย์,401,4,4800,มีคนอยู่,คุณสุดา,081-555-0005,30/11/2026
มีทรัพย์,405,4,4800,ว่าง,,,
